,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,게임키,일자,팀코드,상대팀코드,더블헤더코드,초말,완투,결과,홀드,이닝*3,투구수,타자,타수,안타,2루타,3루타,홈런,도루,도루실패,희타,희비,4구,고4,사구,삼진,병살타,폭투,보크,실책,실점,자책점,득점권WHIP,2점차이하WHIP,345번타자WHIP,시즌,평균자책점,RA/9,ERC,FIP,LOB,홈런율,삼진율,K9,BB9,HR9,KBB,P/G,P/IP,P/PA,PFR,CYP
10,10,10,10,10,20160402HHLG0,2016-04-02,LG,HH,0,B,0,W,2,33,176,50,43,13,4,0,0,0,1,2,0,3,1,2,9,0,0,0,0,7,7,1.9090909090000001,1.2727272729999999,1.5,2016,3.0,3.0,3.1196961538461534,2.856544504889074,0.75,0.0,0.19230769230769232,7.5,2.25,0.0,3.333333333333333,184.0,15.333333333333336,3.5384615384615383,1.0833333333333333,4.0
11,11,11,11,11,20160402HHLG0,2016-04-02,HH,LG,0,T,0,L,0,30,222,49,40,12,2,1,1,1,2,0,0,8,0,1,9,0,2,0,1,8,8,4.0,2.111111111,3.0,2016,3.1764705882352944,3.970588235294117,2.601987234042553,4.037917053908682,0.6896551724137931,0.02127659574468085,0.2340425531914893,8.735294117647058,3.1764705882352944,0.7941176470588235,2.75,196.0,17.294117647058822,4.170212765957447,1.3235294117647058,2.766666666666667
12,12,12,12,12,20160402HTNC0,2016-04-02,NC,HT,0,B,0,L,0,27,152,39,33,8,2,0,1,1,1,1,0,5,0,0,8,0,0,0,0,4,4,3.6,1.5,2.5714285709999998,2016,4.0,4.0,3.6332578947368432,4.328766727111296,0.7547169811320755,0.02631578947368421,0.2631578947368421,10.0,3.0,1.0,3.333333333333333,143.0,15.888888888888893,3.763157894736842,1.4444444444444444,2.5
13,13,13,13,13,20160402HTNC0,2016-04-02,HT,NC,0,T,0,W,0,27,146,36,33,7,1,0,1,1,0,0,0,2,0,1,5,1,0,0,0,3,3,0.75,0.6,1.5,2016,5.625,5.625,7.014721875000001,6.6482111715557375,0.8035714285714286,0.05555555555555555,0.25,10.125,5.625,2.25,1.8,147.0,18.375,4.083333333333333,1.75,-0.09999999999999998
14,14,14,14,14,20160402KTSK0,2016-04-02,SK,KT,0,B,0,W,0,30,162,41,34,8,0,0,0,0,2,1,0,6,0,0,3,2,1,0,1,3,2,1.875,1.4,0.428571429,2016,8.0,8.0,6.886685714285713,6.7732111715557375,0.6060606060606061,0.047619047619047616,0.16666666666666666,7.0,4.0,2.0,1.75,151.0,16.77777777777778,3.5952380952380962,1.2222222222222223,-2.8
15,15,15,15,15,20160402KTSK0,2016-04-02,KT,SK,0,T,0,L,0,28,173,44,37,10,2,0,1,2,0,0,0,6,2,1,6,1,1,0,0,4,4,1.875,1.714285714,2.0,2016,4.0,4.0,3.2212638888888887,3.662100060444629,0.6976744186046512,0.027777777777777776,0.19444444444444445,0.0,0.0,0.0,0.0,147.0,16.333333333333332,4.083333333333333,0.7777777777777778,2.2
16,16,16,16,16,20160402LTWO0,2016-04-02,WO,LT,0,B,0,W,3,27,167,39,34,8,3,0,0,2,1,0,0,5,0,0,9,0,0,0,0,3,3,1.2,1.263157895,0.545454545,2016,1.0,2.0,3.85215,3.106544504889074,0.8461538461538461,0.0,0.15384615384615385,6.0,2.0,0.0,3.0,145.0,16.11111111111111,3.717948717948718,0.8888888888888888,4.1
17,17,17,17,17,20160402LTWO0,2016-04-02,LT,WO,0,T,0,L,0,24,127,35,30,9,0,0,0,1,1,0,0,4,0,1,6,1,0,0,0,5,4,2.5,1.764705882,1.6666666669999999,2016,0.0,1.0,2.0800770833333333,4.106544504889074,0.9090909090909092,0.0,0.16666666666666666,6.0,5.0,0.0,1.2,138.0,15.333333333333336,3.8333333333333335,1.2222222222222223,6.1
18,18,18,18,18,20160402OBSS0,2016-04-02,SS,OB,0,B,0,W,0,27,160,42,38,12,6,0,1,1,0,0,0,4,0,0,6,1,0,1,0,6,6,0.692307692,1.75,5.0,2016,4.0,5.0,4.53892972972973,7.3287667271112955,0.7608695652173914,0.054054054054054064,0.08108108108108109,3.0,3.0,2.0,1.0,147.0,16.333333333333332,3.972972972972973,0.6666666666666666,0.8
19,19,19,19,19,20160402OBSS0,2016-04-02,OB,SS,0,T,0,L,0,24,135,41,36,16,3,1,2,1,1,2,0,2,0,1,7,1,0,0,1,10,10,1.875,2.1818181819999998,2.1,2016,1.0,1.0,2.6961885714285705,3.4398778382224067,0.9090909090909092,0.0,0.17142857142857146,6.0,2.0,0.0,3.0,146.0,16.22222222222222,4.171428571428572,0.8888888888888888,5.1
20,20,20,20,20,20160403KTSK0,2016-04-03,SK,KT,0,B,0,L,0,27,167,40,33,7,2,0,1,0,1,0,0,6,0,1,9,0,0,0,1,5,5,1.714285714,1.565217391,1.6666666669999999,2016,4.7368421052631575,5.2105263157894735,4.804584971464807,5.825842750503107,0.6985294117647061,0.024096385542168683,0.12048192771084335,4.7368421052631575,4.7368421052631575,0.9473684210526316,1.0,156.5,16.473684210526315,3.771084337349397,1.0526315789473684,1.5
21,21,21,21,21,20160403KTSK0,2016-04-03,KT,SK,0,T,0,W,2,27,158,38,32,8,2,0,0,1,1,0,1,3,0,2,4,0,0,0,0,4,4,1.0,0.954545455,2.142857143,2016,3.927272727272728,3.927272727272728,4.344198386363635,4.5913929897375585,0.7851239669421488,0.02564102564102564,0.16666666666666666,6.381818181818183,1.963636363636364,0.981818181818182,3.25,160.0,17.454545454545453,4.0,1.0363636363636364,3.466666666666666
22,22,22,22,22,20160403LTWO0,2016-04-03,WO,LT,0,B,0,W,0,27,152,43,38,12,1,1,0,0,0,0,1,4,0,0,5,1,0,0,0,5,4,1.875,1.5,0.818181818,2016,2.0,2.5,3.531175,3.2732111715557406,0.8076923076923077,0.0,0.19230769230769232,7.5,3.5,0.0,2.142857142857143,156.0,17.333333333333332,4.0,1.2222222222222223,7.5
23,23,23,23,23,20160403LTWO0,2016-04-03,LT,WO,0,T,0,L,0,25,178,42,34,11,2,0,0,3,0,1,0,7,1,0,7,0,1,0,0,6,6,2.666666667,3.333333333,1.8,2016,2.117647058823529,3.1764705882352944,3.4486630074565032,4.126152348026329,0.76,0.0,0.16901408450704225,6.352941176470589,4.764705882352942,0.0,1.3333333333333333,132.5,15.588235294117649,3.732394366197183,1.2352941176470589,6.7
24,24,24,24,24,20160405LGHT0,2016-04-05,HT,LG,0,B,0,W,2,27,137,35,34,7,0,0,0,1,0,0,0,1,0,0,9,0,0,0,0,1,1,0.75,1.0,0.6,2016,4.235294117647058,4.235294117647058,4.5577088235294125,5.832034700967505,0.8080808080808081,0.041666666666666664,0.19444444444444445,7.411764705882352,3.705882352941176,1.5882352941176472,2.0,146.5,17.235294117647058,4.069444444444445,1.2352941176470589,2.9
25,25,25,25,25,20160405LGHT0,2016-04-05,LG,HT,0,T,0,L,0,24,123,31,28,6,1,0,1,0,0,0,0,3,0,0,10,2,1,0,0,4,2,2.0,1.588235294,0.6,2016,4.304347826086956,4.304347826086956,3.6616130434782614,3.034080736773132,0.6764705882352942,0.0,0.18811881188118806,7.434782608695652,1.9565217391304348,0.0,3.8,180.0,15.652173913043475,3.5294117647058822,1.0869565217391304,4.4
26,26,26,26,26,20160405NCOB0,2016-04-05,OB,NC,0,B,0,W,0,27,146,37,31,5,0,0,0,0,0,0,0,5,0,1,9,1,0,0,0,2,2,1.8,1.0,1.5,2016,5.8235294117647065,5.8235294117647065,6.658717492260062,4.8320347009675055,0.6985294117647061,0.02631578947368421,0.17105263157894735,6.882352941176469,2.117647058823529,1.0588235294117647,3.25,140.5,16.529411764705884,3.697368421052632,1.0,-0.19999999999999996
27,27,27,27,27,20160405NCOB0,2016-04-05,NC,OB,0,T,0,L,0,24,156,39,28,6,1,1,0,2,1,0,0,7,0,4,5,0,0,0,0,6,6,2.5,3.0,1.875,2016,4.0,4.0,3.8283603896103897,4.717655616000185,0.7657657657657658,0.025974025974025976,0.23376623376623376,9.0,4.0,1.0,2.25,147.5,16.38888888888889,3.831168831168831,1.4444444444444444,3.8
28,28,28,28,28,20160405SKLT0,2016-04-05,LT,SK,0,B,0,W,3,27,152,35,30,4,2,0,0,1,0,0,1,2,0,2,12,0,0,0,1,1,1,0.75,0.666666667,0.666666667,2016,3.5526315789473686,4.2631578947368425,4.3934062296227285,4.167948013661004,0.7209302325581395,0.0,0.16964285714285715,6.75,5.328947368421053,0.0,1.2666666666666666,147.66666666666666,17.486842105263158,3.9203539823008846,1.381578947368421,5.566666666666666
29,29,29,29,29,20160405SKLT0,2016-04-05,SK,LT,0,T,0,L,0,24,111,34,30,5,0,0,0,0,0,0,0,3,0,1,7,0,1,0,1,2,2,0.375,1.0,1.333333333,2016,4.821428571428571,5.142857142857143,4.605000174216027,5.737496885841456,0.7035175879396985,0.024390243902439025,0.15447154471544716,6.107142857142858,5.1428571428571415,0.9642857142857142,1.1875,160.0,17.142857142857142,3.902439024390244,1.25,1.9
30,30,30,30,30,20160405SSKT0,2016-04-05,KT,SS,0,B,0,W,0,27,181,45,38,10,2,0,0,0,0,0,0,6,0,1,6,1,1,0,0,3,2,1.5,0.75,0.46153846200000004,2016,3.9512195121951215,3.9512195121951215,4.006303844563869,4.578089220336229,0.7526881720430108,0.017241379310344827,0.14655172413793102,5.597560975609754,2.3048780487804885,0.6585365853658538,2.4285714285714284,159.33333333333334,17.48780487804878,4.0508474576271185,0.9512195121951221,5.366666666666666
31,31,31,31,31,20160405SSKT0,2016-04-05,SS,KT,0,T,0,L,0,24,159,42,32,11,4,0,1,2,0,0,2,8,0,0,6,1,1,0,0,8,8,1.846153846,4.714285714,2.0,2016,5.0,5.5,5.371064556962024,6.2732111715557375,0.7142857142857143,0.0379746835443038,0.1139240506329114,4.5,3.5,1.5,1.2857142857142858,153.5,17.055555555555557,3.886075949367088,0.8888888888888888,0.9
32,32,32,32,32,20160405WOHH0,2016-04-05,HH,WO,0,B,0,W,0,27,180,40,32,7,0,0,1,2,2,0,0,7,0,1,11,1,3,0,1,5,3,2.4,2.166666667,1.2,2016,5.0625,5.484375,4.597332666015625,4.94508617155574,0.6730769230769231,0.020833333333333332,0.2083333333333333,8.4375,5.0625,0.84375,1.6666666666666667,209.0,19.59375,4.354166666666667,1.5,0.6666666666666661
33,33,33,33,33,20160405WOHH0,2016-04-05,WO,HH,0,T,0,L,0,24,129,41,35,13,4,0,0,1,0,0,1,4,0,1,1,1,1,0,0,9,8,2.333333333,2.470588235,1.6666666669999999,2016,2.6666666666666665,3.333333333333333,4.050795867768594,3.5139519122964815,0.7619047619047619,0.0,0.1652892561983471,6.666666666666666,3.6666666666666665,0.0,1.8181818181818181,154.66666666666666,17.185185185185187,3.834710743801653,1.148148148148148,9.5
34,34,34,34,34,20160406NCOB0,2016-04-06,OB,NC,0,B,0,W,0,27,118,29,28,2,0,0,0,0,0,0,0,1,0,0,12,1,0,0,0,0,0,0.0,0.333333333,0.857142857,2016,4.5,4.5,4.83780559904697,4.4655188638634336,0.7329842931937173,0.017699115044247787,0.1946902654867257,7.615384615384616,3.1153846153846154,0.6923076923076923,2.4444444444444446,142.33333333333334,16.423076923076927,3.778761061946904,1.1923076923076923,4.2
35,35,35,35,35,20160406NCOB0,2016-04-06,NC,OB,0,T,0,L,0,24,133,32,30,5,0,0,1,0,0,0,0,1,0,1,8,0,0,1,0,2,2,0.272727273,0.75,0.3,2016,4.846153846153847,4.846153846153847,4.322792440318303,5.311672710017279,0.7142857142857142,0.017241379310344827,0.19827586206896552,7.961538461538463,5.192307692307692,0.6923076923076923,1.5333333333333334,150.33333333333334,17.346153846153847,3.8879310344827593,1.4615384615384617,2.3
36,36,36,36,36,20160406SKLT0,2016-04-06,LT,SK,0,B,0,W,0,15,74,21,16,1,0,0,0,0,0,0,0,4,0,1,2,1,0,0,0,1,0,1.5,1.333333333,0.428571429,2016,2.8834951456310685,3.407766990291261,3.324984551298872,3.7149587443712746,0.7450980392156863,0.0,0.2108843537414966,8.12621359223301,4.45631067961165,0.0,1.8235294117647056,148.75,17.33009708737864,4.02027027027027,1.4271844660194173,11.266666666666667
37,37,37,37,37,20160406SKLT0,2016-04-06,SK,LT,0,T,0,L,0,15,112,31,27,14,3,0,3,1,1,1,0,2,0,1,2,0,0,0,0,11,11,2.5,3.428571429,6.0,2016,4.25,4.5,3.862681210191083,5.245433393777963,0.7172131147540984,0.01910828025477707,0.16560509554140124,6.5,4.75,0.75,1.368421052631579,147.75,16.416666666666668,3.7643312101910817,1.25,4.6
38,38,38,38,38,20160406SSKT0,2016-04-06,KT,SS,0,B,0,L,0,27,170,47,41,14,3,1,0,2,0,1,0,5,0,0,3,1,1,1,0,11,7,1.636363636,1.8,4.5,2016,3.4678899082568804,3.7155963302752286,4.239268464006303,4.626422180730053,0.7749077490774907,0.012422360248447204,0.14285714285714285,5.697247706422019,3.2201834862385317,0.4954128440366972,1.7692307692307692,164.75,18.137614678899077,4.042944785276074,1.0458715596330277,9.466666666666669
39,39,39,39,39,20160406SSKT0,2016-04-06,SS,KT,0,T,0,W,0,27,138,38,36,7,2,0,3,0,0,0,0,2,0,0,6,0,1,0,0,6,6,3.0,0.428571429,1.5,2016,6.230769230769233,6.5769230769230775,6.431419564526383,6.4655188638634336,0.6763285024154589,0.033057851239669415,0.12396694214876032,5.192307692307692,5.192307692307692,1.3846153846153846,1.0,155.33333333333334,17.923076923076927,3.851239669421488,1.1538461538461535,-2.5
40,40,40,40,40,20160406WOHH0,2016-04-06,HH,WO,0,B,0,L,0,27,177,40,32,6,2,0,0,0,0,0,0,7,0,1,12,0,2,0,1,6,6,2.5714285709999998,1.941176471,0.9,2016,4.450549450549451,5.34065934065934,4.633090356334842,5.0918924902370595,0.6919642857142858,0.02205882352941177,0.22794117647058826,9.197802197802199,5.637362637362638,0.8901098901098902,1.631578947368421,199.3333333333333,19.714285714285715,4.397058823529412,1.6483516483516485,4.266666666666666
41,41,41,41,41,20160406WOHH0,2016-04-06,WO,HH,0,T,0,W,1,27,124,36,35,11,3,0,2,1,0,1,0,0,0,0,5,1,1,0,0,4,4,0.6,1.411764706,1.5,2016,4.114285714285714,4.885714285714286,4.844361904761903,3.944639742984312,0.6833333333333333,0.0,0.12962962962962962,5.4,3.8571428571428568,0.0,1.4,148.25,16.942857142857143,3.6604938271604937,1.0285714285714285,5.6
42,42,42,42,42,20160407LGHT0,2016-04-07,HT,LG,0,B,0,L,0,27,162,43,38,11,1,0,2,2,0,0,0,4,0,1,9,0,0,0,0,8,8,1.875,2.0625,2.625,2016,3.1153846153846154,3.1153846153846154,3.300773544212796,4.542441940786509,0.8273381294964028,0.02803738317757009,0.21495327102803727,7.961538461538463,2.769230769230769,1.0384615384615383,2.875,143.33333333333334,16.53846153846154,4.018691588785047,1.1923076923076923,8.3
43,43,43,43,43,20160407LGHT0,2016-04-07,LG,HT,0,T,0,W,2,27,137,37,34,9,5,0,0,1,1,0,0,2,0,1,6,1,1,0,0,4,4,3.0,1.071428571,0.666666667,2016,3.774193548387097,4.354838709677419,3.4700798326461304,3.289340203813805,0.673076923076923,0.007575757575757577,0.2196969696969697,8.419354838709676,2.32258064516129,0.29032258064516125,3.625,161.0,15.580645161290322,3.6315789473684217,1.2258064516129032,7.4
44,44,44,44,44,20160407NCOB0,2016-04-07,OB,NC,0,B,0,L,0,27,159,43,41,15,2,1,0,0,1,0,0,2,0,0,4,0,0,0,0,8,8,4.2,3.857142857,2.333333333,2016,3.3428571428571434,3.3428571428571434,3.0802160563380285,3.6874968858414547,0.7524271844660194,0.014084507042253518,0.23943661971830985,8.742857142857142,2.5714285714285707,0.5142857142857142,3.4,136.25,15.571428571428573,3.838028169014085,1.2571428571428571,10.9
45,45,45,45,45,20160407NCOB0,2016-04-07,NC,OB,0,T,0,W,0,27,156,40,36,10,1,0,0,0,0,0,0,2,0,2,9,1,1,0,0,2,2,0.75,1.0,1.0909090909999999,2016,4.235294117647058,4.235294117647058,3.6411384737678847,5.037917053908682,0.7366071428571429,0.020270270270270268,0.20945945945945946,8.205882352941176,4.235294117647058,0.7941176470588236,1.9375,146.0,17.176470588235293,3.9459459459459465,1.3823529411764706,5.1
46,46,46,46,46,20160407SKLT0,2016-04-07,LT,SK,0,B,0,L,0,27,156,42,36,12,1,0,3,2,1,0,2,3,0,1,5,0,1,0,0,8,8,1.714285714,1.6666666669999999,1.5,2016,2.516949152542373,3.2033898305084745,3.0286166156854875,4.002024730877775,0.7543859649122807,0.0,0.19642857142857145,7.5508474576271185,4.805084745762712,0.0,1.5714285714285714,133.8,17.008474576271187,3.9585798816568047,1.3983050847457623,14.966666666666669
47,47,47,47,47,20160407SKLT0,2016-04-07,SK,LT,0,T,0,W,0,27,143,33,31,5,1,0,1,0,0,0,1,1,0,0,8,0,1,0,0,3,3,0.0,0.666666667,0.6,2016,6.146341463414633,6.365853658536586,5.716791839647119,6.139064830092328,0.6655844155844156,0.031914893617021274,0.14893617021276595,6.146341463414633,4.6097560975609735,1.3170731707317072,1.3333333333333333,140.6,17.146341463414632,3.7393617021276597,1.195121951219512,-3.7
48,48,48,48,48,20160407SSKT0,2016-04-07,KT,SS,0,B,0,L,0,27,187,40,35,9,2,0,1,3,0,1,0,4,0,0,4,0,0,0,0,3,3,0.692307692,1.4444444440000002,1.2,2016,4.169117647058823,5.161764705882352,4.714954831932774,4.655564112732211,0.6830601092896175,0.009615384615384616,0.125,5.161764705882352,3.5735294117647056,0.3970588235294117,1.4444444444444444,165.8,18.28676470588235,3.947619047619048,1.0147058823529411,7.2666666666666675
49,49,49,49,49,20160407SSKT0,2016-04-07,SS,KT,0,T,0,W,1,27,139,34,30,4,1,0,0,0,1,0,0,4,0,0,9,0,1,0,0,1,1,2.0,0.8888888890000001,1.0,2016,6.171428571428572,6.428571428571429,5.607135094339622,6.716068314412882,0.6709956709956709,0.0440251572327044,0.1320754716981132,5.4,4.371428571428571,1.8,1.2352941176470589,151.0,17.257142857142856,3.79874213836478,1.0857142857142856,-2.4000000000000004
50,50,50,50,50,20160407WOHH0,2016-04-07,HH,WO,0,B,0,L,0,27,141,37,33,7,1,1,2,1,0,0,0,4,1,0,4,1,1,0,0,7,7,3.75,3.0,1.5,2016,4.805084745762712,5.491525423728813,4.2789756091101685,4.790160324098113,0.6632653061224489,0.017045454545454544,0.24431818181818185,9.838983050847457,5.9491525423728815,0.6864406779661016,1.6538461538461535,193.75,19.70338983050848,4.403409090909091,1.7542372881355932,3.9666666666666677
51,51,51,51,51,20160407WOHH0,2016-04-07,WO,HH,0,T,0,W,1,27,156,40,39,12,2,0,2,0,0,0,0,0,0,1,10,0,0,0,0,3,3,0.666666667,2.4,1.6666666669999999,2016,4.090909090909091,4.704545454545454,4.86169715909091,4.27321117155574,0.7038123167155425,0.010101010101010102,0.13131313131313133,5.318181818181818,3.0681818181818183,0.4090909090909091,1.7333333333333334,143.4,16.295454545454547,3.621212121212121,0.9318181818181818,7.6
52,52,52,52,52,20160408HHNC0,2016-04-08,NC,HH,0,B,0,W,1,27,150,39,31,5,2,0,1,0,0,0,0,6,0,2,9,1,1,0,0,4,4,2.25,0.7894736840000001,2.142857143,2016,3.7674418604651163,3.7674418604651163,3.7188931345868377,4.6336762878348114,0.7653061224489797,0.015957446808510637,0.2127659574468085,8.372093023255816,3.7674418604651163,0.627906976744186,2.2222222222222223,148.0,17.209302325581394,3.9361702127659575,1.3488372093023255,9.5
53,53,53,53,53,20160408HHNC0,2016-04-08,HH,NC,0,T,0,L,0,24,167,38,30,9,2,0,1,3,1,1,0,7,0,0,6,2,3,0,0,5,5,1.071428571,2.25,3.0,2016,5.2137931034482765,5.772413793103447,4.176084817872754,5.159418068107465,0.6417910447761194,0.02358490566037736,0.2216981132075472,8.751724137931035,5.4,0.9310344827586208,1.6206896551724137,183.2,18.951724137931034,4.300469483568075,1.5931034482758617,1.866666666666668
54,54,54,54,54,20160408HTKT0,2016-04-08,KT,HT,0,B,0,W,0,27,143,32,28,3,0,0,0,1,0,0,0,4,0,0,7,2,0,0,0,0,0,0.0,0.833333333,0.545454545,2016,3.975460122699386,4.8036809815950905,4.618279246625767,4.822290926156968,0.7075471698113208,0.012096774193548387,0.12096774193548387,4.969325153374231,3.644171779141104,0.4969325153374233,1.3636363636363635,169.33333333333334,18.699386503067483,4.064,0.9938650306748466,9.166666666666668
55,55,55,55,55,20160408HTKT0,2016-04-08,HT,KT,0,T,0,L,0,24,119,33,31,8,2,0,0,1,0,1,0,1,0,0,3,3,0,1,1,4,2,0.857142857,1.6875,1.2,2016,4.371428571428571,4.371428571428571,4.117247542857143,5.00178260012717,0.7560975609756098,0.03333333333333333,0.21333333333333326,8.228571428571428,3.085714285714286,1.2857142857142856,2.6666666666666665,148.0,16.914285714285715,3.9466666666666654,1.2571428571428571,5.7
56,56,56,56,56,20160408LGSK0,2016-04-08,SK,LG,0,B,0,W,0,30,121,36,33,4,0,0,1,0,0,0,0,2,0,1,4,1,0,0,0,2,2,0.75,0.6,0.9,2016,5.58,5.76,4.7200374117647055,5.7132111715557405,0.6646525679758308,0.03167420814479638,0.16289592760180996,6.48,3.96,1.2600000000000002,1.6363636363636365,141.0,16.92,3.828054298642533,1.16,-0.3999999999999999
57,57,57,57,57,20160408LGSK0,2016-04-08,LG,SK,0,T,0,L,0,29,142,41,36,8,0,0,0,0,0,0,1,4,0,0,4,0,1,0,0,3,1,0.0,1.24137931,1.0909090909999999,2016,3.825,4.275,3.400946323529411,3.3232111715557404,0.6716417910447761,0.005917159763313609,0.2071005917159764,7.875,2.25,0.225,3.5,155.0,15.5,3.647058823529412,1.15,9.5
58,58,58,58,58,20160408SSLT0,2016-04-08,LT,SS,0,B,0,L,0,27,168,42,35,10,1,0,3,0,0,1,0,5,0,1,8,1,0,0,0,7,3,3.0,3.0,3.0,2016,3.5379310344827584,4.096551724137931,3.8937062591926783,4.807693930176431,0.7412790697674418,0.014285714285714284,0.18095238095238086,7.075862068965518,4.468965517241379,0.5586206896551724,1.5833333333333333,137.5,17.068965517241374,3.909952606635071,1.3034482758620691,11.966666666666669
59,59,59,59,59,20160408SSLT0,2016-04-08,SS,LT,0,T,0,W,0,27,147,36,34,10,2,0,1,1,0,0,0,2,0,0,9,2,0,0,0,3,3,1.0,1.0,1.6666666669999999,2016,5.113636363636363,5.318181818181818,4.4907338671691015,5.977756626101196,0.7011070110701106,0.03626943005181347,0.15544041450777202,6.136363636363638,4.295454545454546,1.4318181818181819,1.4285714285714286,148.6,16.886363636363637,3.8497409326424874,1.1590909090909092,3.0
60,60,60,60,60,20160408WOOB0,2016-04-08,OB,WO,0,B,0,W,1,27,164,36,32,9,2,0,1,2,2,0,0,4,0,0,12,1,3,0,0,4,4,1.714285714,1.6875,1.875,2016,4.295454545454546,4.295454545454546,3.7153745945945937,3.659574807919377,0.6872852233676976,0.010810810810810813,0.20540540540540544,7.7727272727272725,2.454545454545454,0.4090909090909091,3.1666666666666665,140.8,16.0,3.8054054054054056,1.1363636363636365,7.8
61,61,61,61,61,20160408WOOB0,2016-04-08,WO,OB,0,T,0,L,0,24,176,40,29,8,2,0,1,2,2,1,1,8,0,1,7,0,0,0,0,6,6,1.846153846,3.0,1.2,2016,3.9056603773584895,4.415094339622642,4.994799001109879,4.358116831933098,0.7397959183673469,0.01680672268907563,0.15126050420168066,6.113207547169813,2.547169811320755,0.6792452830188679,2.4,145.5,16.471698113207548,3.6680672268907566,0.9622641509433962,11.1
