,게임키,일자,팀코드,상대팀코드,더블헤더코드,초말,선수코드,선발,구원,완투,종료,결과_x,홀드,이닝*3,투구 수,타자,타수,안타,2루타,3루타,홈런,도루,도루실패,희타,희비,4구,고4,사구,삼진,병살타,폭투,보크,실책,실점,자책점,득점권WHIP,2점차이하WHIP,345번타자WHIP,결과_y
12,20160401HTNC0,20160401,NC,HT,0,B,62966,0,1,0,0,W,0,3,19,4,4,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.0,1.0,0.0,1
14,20160401HTNC0,20160401,HT,NC,0,T,66628,0,1,0,1,L,0,6,35,10,8,3,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,1,1,1.0,2.0,1.5,0
15,20160401HTNC0,20160401,NC,HT,0,B,75867,0,1,0,0, ,0,4,27,6,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,6.0,1.5,0.0,1
17,20160401HTNC0,20160401,NC,HT,0,B,78352,0,1,0,1,S,0,3,12,3,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0.0,0.0,0.0,1
18,20160401KTSK0,20160401,SK,KT,0,B,62056,0,1,0,1, ,0,3,11,3,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,3.0,0
19,20160401KTSK0,20160401,KT,SK,0,T,64001,0,1,0,1, ,0,1,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1
20,20160401KTSK0,20160401,SK,KT,0,B,64893,0,1,0,0, ,0,5,15,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0
22,20160401KTSK0,20160401,SK,KT,0,B,71845,0,1,0,0, ,0,4,16,5,5,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.0,0.0,3.0,0
23,20160401KTSK0,20160401,SK,KT,0,B,72523,0,1,0,0, ,0,1,18,3,2,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0.0,0.0,0.0,0
24,20160401KTSK0,20160401,KT,SK,0,T,75149,0,1,0,0, ,0,2,7,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.0,0.0,0.0,1
25,20160401KTSK0,20160401,KT,SK,0,T,77318,0,1,0,0, ,0,6,28,8,8,3,2,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0.0,0.0,1.5,1
27,20160401LTWO0,20160401,WO,LT,0,B,60339,0,1,0,0, ,0,3,22,5,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,2.0,0.0,0
30,20160401LTWO0,20160401,LT,WO,0,T,70615,0,1,0,0, ,1,2,9,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1
31,20160401LTWO0,20160401,LT,WO,0,T,71801,0,1,0,0, ,1,1,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,1
32,20160401LTWO0,20160401,LT,WO,0,T,72535,0,1,0,0, ,1,1,6,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,3.0,0.0,1
33,20160401LTWO0,20160401,WO,LT,0,B,72749,0,1,0,0, ,0,3,17,4,3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.0,1.0,0.0,0
34,20160401LTWO0,20160401,LT,WO,0,T,72862,0,1,0,0, ,1,2,12,2,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.5,0.0,1
35,20160401LTWO0,20160401,LT,WO,0,T,75321,0,1,0,1,S,0,3,9,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,1
36,20160401LTWO0,20160401,WO,LT,0,B,75342,0,1,0,1, ,0,3,16,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0
38,20160401OBSS0,20160401,SS,OB,0,B,61457,0,1,0,0, ,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0
39,20160401OBSS0,20160401,OB,SS,0,T,63248,0,1,0,0, ,0,2,11,3,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,1
40,20160401OBSS0,20160401,OB,SS,0,T,76329,0,1,0,1, ,0,3,16,4,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,1
42,20160401OBSS0,20160401,OB,SS,0,T,77263,0,1,0,0, ,1,4,18,5,4,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0.0,0.0,0.0,1
43,20160401OBSS0,20160401,SS,OB,0,B,77446,0,1,0,0, ,0,1,7,2,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0
44,20160401OBSS0,20160401,SS,OB,0,B,79791,0,1,0,1, ,0,3,18,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0
45,20160401OBSS0,20160401,SS,OB,0,B,99445,0,1,0,0, ,0,5,10,6,5,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,6.0,0
46,20160402HHLG0,20160402,LG,HH,0,B,60146,0,1,0,0, ,0,1,16,4,3,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,3,0.0,9.0,6.0,1
47,20160402HHLG0,20160402,HH,LG,0,T,60764,0,1,0,0, ,0,0,16,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0
48,20160402HHLG0,20160402,LG,HH,0,B,61891,0,1,0,0, ,0,3,9,5,4,2,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,3.0,2.0,0.0,1
49,20160402HHLG0,20160402,LG,HH,0,B,62146,0,1,0,1,W,0,2,11,3,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1.5,1.5,1.5,1
51,20160402HHLG0,20160402,LG,HH,0,B,70839,0,1,0,0, ,1,1,6,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,1
52,20160402HHLG0,20160402,LG,HH,0,B,71118,0,1,0,0, ,1,4,16,5,5,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0.0,0.75,0.0,1
53,20160402HHLG0,20160402,HH,LG,0,T,71260,0,1,0,1,L,0,3,23,5,4,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0.0,2.0,0.0,0
54,20160402HHLG0,20160402,HH,LG,0,T,72447,0,1,0,0, ,0,5,34,9,8,3,1,0,0,0,0,0,0,1,0,0,2,0,1,0,0,2,2,3.0,2.4,6.0,0
56,20160402HHLG0,20160402,HH,LG,0,T,74731,0,1,0,0, ,0,7,34,8,8,1,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0.0,0.428571429,0.0,0
57,20160402HHLG0,20160402,LG,HH,0,B,76650,0,1,0,0, ,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1
58,20160402HHLG0,20160402,LG,HH,0,B,79140,0,1,0,0, ,0,7,31,9,8,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.857142857,0.0,1
59,20160402HHLG0,20160402,HH,LG,0,T,79764,0,1,0,0, ,0,10,73,16,13,3,0,0,1,0,0,0,0,2,0,1,1,0,0,0,1,1,1,3.0,1.714285714,3.0,0
60,20160402HTNC0,20160402,HT,NC,0,T,60636,0,1,0,0, ,0,2,17,4,3,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,2,2,0.0,0.0,6.0,1
61,20160402HTNC0,20160402,NC,HT,0,B,62966,0,1,0,0, ,0,3,16,4,4,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0.0,1.0,1.5,0
62,20160402HTNC0,20160402,NC,HT,0,B,63959,0,1,0,0, ,0,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0
63,20160402HTNC0,20160402,NC,HT,0,B,64907,0,1,0,0, ,0,3,20,4,1,0,0,0,0,0,1,1,0,2,0,0,1,0,0,0,0,0,0,1.5,0.0,0.0,0
65,20160402HTNC0,20160402,NC,HT,0,B,65933,0,1,0,0, ,0,2,11,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.0,0.0,0.0,0
67,20160402HTNC0,20160402,NC,HT,0,B,66928,0,1,0,0, ,0,2,7,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0
68,20160402HTNC0,20160402,HT,NC,0,T,75668,0,1,0,1,S,0,4,18,4,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,1
69,20160402HTNC0,20160402,NC,HT,0,B,78243,0,1,0,1, ,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0
71,20160402KTSK0,20160402,KT,SK,0,T,65056,0,1,0,0, ,0,7,40,9,7,1,1,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,1.5,1.285714286,1.0,0
72,20160402KTSK0,20160402,KT,SK,0,T,65062,0,1,0,0, ,0,6,32,7,7,1,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0.0,0.5,0.0,0
73,20160402KTSK0,20160402,KT,SK,0,T,65067,0,1,0,0, ,0,6,32,9,8,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,3.0,1.5,0.0,0
75,20160402KTSK0,20160402,SK,KT,0,B,71845,0,1,0,0, ,0,5,31,6,4,1,0,0,0,0,1,0,0,2,0,0,1,1,0,0,0,0,0,1.5,1.8,0.75,1
76,20160402KTSK0,20160402,SK,KT,0,B,75138,0,1,0,0, ,0,1,6,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0.0,3.0,0.0,1
77,20160402KTSK0,20160402,SK,KT,0,B,75250,0,1,0,1,W,0,6,26,7,6,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.0,0.5,0.0,1
78,20160402KTSK0,20160402,KT,SK,0,T,77318,0,1,0,1,L,0,1,20,5,3,1,1,0,0,0,0,0,0,2,2,0,0,0,1,0,0,1,1,6.0,9.0,3.0,0
79,20160402LTWO0,20160402,LT,WO,0,T,63935,0,1,0,1, ,0,6,28,9,9,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,3.0,0.0,1.5,0
80,20160402LTWO0,20160402,WO,LT,0,B,65343,0,1,0,0, ,1,3,15,4,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,1
83,20160402LTWO0,20160402,LT,WO,0,T,71801,0,1,0,0, ,0,1,10,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3.0,0.0,0.0,0
84,20160402LTWO0,20160402,WO,LT,0,B,72749,0,1,0,0, ,1,3,18,3,3,1,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0.0,0.0,0.0,1
85,20160402LTWO0,20160402,WO,LT,0,B,75342,0,1,0,0, ,1,3,17,5,4,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1.0,2.0,3.0,1
86,20160402LTWO0,20160402,WO,LT,0,B,76350,0,1,0,1, ,0,3,24,6,6,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1.5,0.0,0.0,1
87,20160402OBSS0,20160402,OB,SS,0,T,61295,0,1,0,1, ,0,2,10,3,2,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,2,2,0.0,0.0,3.0,0
88,20160402OBSS0,20160402,SS,OB,0,B,61365,0,1,0,0, ,0,5,25,6,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.6,3.0,1
89,20160402OBSS0,20160402,SS,OB,0,B,61411,0,1,0,1,W,0,5,33,7,6,1,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,1,0.0,0.0,6.0,1
90,20160402OBSS0,20160402,OB,SS,0,T,63248,0,1,0,0, ,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0
92,20160402OBSS0,20160402,OB,SS,0,T,73241,0,1,0,0, ,0,5,25,5,5,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0.0,0.0,0.0,0
93,20160402OBSS0,20160402,SS,OB,0,B,74630,0,1,0,0, ,0,1,15,2,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,3.0,0.0,1
94,20160402OBSS0,20160402,OB,SS,0,T,77263,0,1,0,0,L,0,1,7,4,3,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3,3,3.0,6.0,0.0,0
95,20160402OBSS0,20160402,SS,OB,0,B,77927,0,1,0,0, ,0,1,12,4,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3.0,9.0,0.0,1
98,20160403KTSK0,20160403,SK,KT,0,B,64893,0,1,0,0, ,0,4,28,5,5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,3.0,0
99,20160403KTSK0,20160403,KT,SK,0,T,65062,0,1,0,1,S,0,3,13,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,1
100,20160403KTSK0,20160403,KT,SK,0,T,65067,0,1,0,0, ,0,0,6,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1
102,20160403KTSK0,20160403,SK,KT,0,B,73248,0,1,0,0,L,0,1,6,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3.0,3.0,0.0,0
103,20160403KTSK0,20160403,SK,KT,0,B,75138,0,1,0,0, ,0,1,5,3,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,6.0,6.0,0.0,0
104,20160403KTSK0,20160403,KT,SK,0,T,75149,0,1,0,0, ,1,3,20,5,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,1
105,20160403KTSK0,20160403,SK,KT,0,B,75250,0,1,0,1, ,0,3,16,5,4,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.0,3.0,3.0,0
106,20160403KTSK0,20160403,KT,SK,0,T,77318,0,1,0,0, ,1,1,12,4,2,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0.0,6.0,0.0,1
107,20160403LTWO0,20160403,WO,LT,0,B,60342,0,1,0,0, ,0,2,11,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,1
108,20160403LTWO0,20160403,WO,LT,0,B,65343,0,1,0,0, ,0,3,18,5,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,3.0,0.0,1.5,1
110,20160403LTWO0,20160403,LT,WO,0,T,70615,0,1,0,0, ,0,0,6,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0
111,20160403LTWO0,20160403,LT,WO,0,T,72551,0,1,0,0, ,0,3,19,4,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1.5,0
112,20160403LTWO0,20160403,LT,WO,0,T,72862,0,1,0,1,L,0,4,32,8,5,2,1,0,0,1,0,1,0,2,1,0,2,0,0,0,0,1,1,3.0,3.0,6.0,0
113,20160403LTWO0,20160403,LT,WO,0,T,73226,0,1,0,0, ,0,4,29,7,6,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1.5,0.0,0.0,0
114,20160403LTWO0,20160403,WO,LT,0,B,74359,0,1,0,0, ,0,0,6,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1
115,20160403LTWO0,20160403,WO,LT,0,B,76350,0,1,0,1,W,0,4,23,6,6,2,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,2,1,1.5,1.5,3.0,1
116,20160403LTWO0,20160403,WO,LT,0,B,76430,0,1,0,0, ,0,3,23,6,3,1,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,1,1,1.5,0.0,3.0,1
118,20160405LGHT0,20160405,LG,HT,0,T,60181,0,1,0,0, ,0,2,6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0
119,20160405LGHT0,20160405,HT,LG,0,B,60636,0,1,0,0, ,1,2,7,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,1
122,20160405LGHT0,20160405,HT,LG,0,B,75668,0,1,0,1,S,0,3,16,4,4,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,1
123,20160405LGHT0,20160405,LG,HT,0,T,76650,0,1,0,1, ,0,4,18,4,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0
124,20160405LGHT0,20160405,HT,LG,0,B,97336,0,1,0,0, ,1,4,18,5,5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,1
126,20160405NCOB0,20160405,OB,NC,0,B,63248,0,1,0,0, ,0,1,7,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1
127,20160405NCOB0,20160405,NC,OB,0,T,65933,0,1,0,0, ,0,3,16,4,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0
128,20160405NCOB0,20160405,NC,OB,0,T,66928,0,1,0,0, ,0,4,26,6,4,1,1,0,0,0,1,0,0,1,0,1,2,0,0,0,0,0,0,1.5,0.0,6.0,0
129,20160405NCOB0,20160405,OB,NC,0,B,73241,0,1,0,0, ,0,5,23,5,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.0,0.0,0.0,1
131,20160405NCOB0,20160405,NC,OB,0,T,75867,0,1,0,1, ,0,3,10,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0
132,20160405NCOB0,20160405,OB,NC,0,B,77263,0,1,0,1, ,0,3,12,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1
133,20160405NCOB0,20160405,NC,OB,0,T,78243,0,1,0,0, ,0,7,42,11,7,0,0,0,0,0,0,0,0,2,0,2,1,0,0,0,0,0,0,0.0,0.0,0.0,0
136,20160405SKLT0,20160405,LT,SK,0,B,70615,0,1,0,0, ,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,1
137,20160405SKLT0,20160405,LT,SK,0,B,71801,0,1,0,0, ,1,2,11,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,1
138,20160405SKLT0,20160405,SK,LT,0,T,71845,0,1,0,0, ,0,2,13,4,2,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0.0,4.5,3.0,0
139,20160405SKLT0,20160405,LT,SK,0,B,72535,0,1,0,0, ,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1
140,20160405SKLT0,20160405,LT,SK,0,B,72862,0,1,0,0, ,0,0,7,3,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0.0,0.0,0.0,1
141,20160405SKLT0,20160405,LT,SK,0,B,73226,0,1,0,0, ,1,1,6,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,1
142,20160405SKLT0,20160405,SK,LT,0,T,75250,0,1,0,1, ,0,1,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0
143,20160405SKLT0,20160405,LT,SK,0,B,75321,0,1,0,1,S,0,4,24,5,4,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,3.0,0.75,3.0,1
144,20160405SSKT0,20160405,KT,SS,0,B,64001,0,1,0,0, ,0,3,20,6,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1.5,0.0,0.0,1
147,20160405SSKT0,20160405,SS,KT,0,T,77446,0,1,0,0, ,0,3,11,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0
148,20160405SSKT0,20160405,SS,KT,0,T,77927,0,1,0,1, ,0,3,7,3,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,3.0,0
149,20160405SSKT0,20160405,KT,SS,0,B,79191,0,1,0,0, ,0,6,35,8,7,2,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0.0,0.0,0.0,1
150,20160405SSKT0,20160405,SS,KT,0,T,79440,0,1,0,0, ,0,10,73,17,15,5,3,0,1,2,0,0,0,2,0,0,4,0,1,0,0,3,3,1.285714286,0.0,1.5,0
151,20160405SSKT0,20160405,KT,SS,0,B,99563,0,1,0,1, ,0,3,27,7,6,3,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,2,2,3.0,0.0,1.5,1
152,20160405WOHH0,20160405,WO,HH,0,T,60339,0,1,0,0, ,0,4,19,6,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0
153,20160405WOHH0,20160405,WO,HH,0,T,60342,0,1,0,1, ,0,3,19,5,4,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.0,0.0,3.0,0
155,20160405WOHH0,20160405,HH,WO,0,B,72447,0,1,0,0, ,0,4,22,4,3,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,1
156,20160405WOHH0,20160405,HH,WO,0,B,74857,0,1,0,1, ,0,3,17,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1
157,20160405WOHH0,20160405,WO,HH,0,T,75342,0,1,0,0, ,0,1,20,6,5,4,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3,2,15.0,15.0,0.0,0
159,20160405WOHH0,20160405,HH,WO,0,B,79764,0,1,0,0, ,0,2,9,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.0,0.0,0.0,1
160,20160405WOHH0,20160405,HH,WO,0,B,99737,0,1,0,0,W,0,4,23,5,4,1,0,0,0,0,1,0,0,1,0,0,3,0,0,0,0,0,0,0.0,3.0,1.0,1
162,20160406NCOB0,20160406,NC,OB,0,T,62966,0,1,0,0, ,0,2,11,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0
163,20160406NCOB0,20160406,NC,OB,0,T,63959,0,1,0,0, ,0,2,8,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.0,0.0,0.0,0
165,20160406NCOB0,20160406,OB,NC,0,B,76329,0,1,0,1,S,0,3,16,3,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.0,0.0,0.0,1
166,20160406NCOB0,20160406,NC,OB,0,T,78352,0,1,0,1, ,0,3,20,4,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.0,1.0,0.0,0
167,20160406SKLT0,20160406,LT,SK,0,B,63935,0,1,0,0,W,0,9,51,14,10,1,0,0,0,0,0,0,0,4,0,0,1,1,0,0,0,1,0,1.5,2.0,0.75,1
168,20160406SKLT0,20160406,SK,LT,0,T,64893,0,1,0,0, ,0,2,15,5,4,3,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,2,1.5,0.0,0.0,0
169,20160406SKLT0,20160406,SK,LT,0,T,72523,0,1,0,1, ,0,6,48,13,13,6,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,5,5,12.0,0.0,12.0,0
170,20160406SKLT0,20160406,LT,SK,0,B,72535,0,1,0,0, ,0,3,13,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,1
171,20160406SKLT0,20160406,LT,SK,0,B,72551,0,1,0,1, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1
174,20160406SSKT0,20160406,SS,KT,0,T,61365,0,1,0,0, ,0,2,8,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1
176,20160406SSKT0,20160406,KT,SS,0,B,65067,0,1,0,0, ,0,3,29,8,7,4,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,4,4,12.0,0.0,6.0,0
177,20160406SSKT0,20160406,SS,KT,0,T,72463,0,1,0,1, ,0,3,16,4,4,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0.0,0.0,0.0,1
