,시즌,선수코드,선수명,팀코드,팀명,연봉
78,2016,61743,오준혁,HT,KIA,3300.0
79,2016,61767,문재현,HH,한화,2700.0
80,2016,61891,임정우,LG,LG,12500.0
81,2016,61893,박계현,SK,SK,6000.0
82,2016,61895,서진용,SK,SK,3000.0
83,2016,61929,채선관,KT,KT,3000.0
84,2016,62007,김지성,LG,LG,3800.0
85,2016,62016,윤병호,NC,NC,2900.0
86,2016,62056,정영일,SK,SK,2700.0
87,2016,62146,최성훈,LG,LG,3500.0
88,2016,62147,조윤준,LG,LG,3000.0
89,2016,62164,서상우,LG,LG,6000.0
90,2016,62234,류지혁,OB,두산,3000.0
91,2016,62242,윤명준,OB,두산,11500.0
92,2016,62244,박세혁,OB,두산,3000.0
93,2016,62265,유민상,KT,KT,3200.0
94,2016,62302,지재옥,WO,키움,2700.0
95,2016,62322,밴헤켄,WO,키움,0.0
96,2016,62332,김재현,WO,키움,4400.0
97,2016,62338,박종윤,WO,키움,2700.0
98,2016,62349,김병현,HT,KIA,15000.0
99,2016,62353,박정음,WO,키움,2700.0
100,2016,62363,한현희,WO,키움,30000.0
101,2016,62404,구자욱,SS,삼성,8000.0
102,2016,62406,성의준,SS,삼성,3000.0
103,2016,62415,박해민,SS,삼성,15000.0
104,2016,62463,이준형,LG,LG,2800.0
105,2016,62522,이지모,LT,롯데,2700.0
106,2016,62528,김원중,LT,롯데,3600.0
107,2016,62537,윤여운,LG,LG,2700.0
108,2016,62556,신본기,LT,롯데,5500.0
109,2016,62558,김준태,LT,롯데,3000.0
110,2016,62559,김상호,LT,롯데,2800.0
111,2016,62591,김성호,LT,롯데,2700.0
112,2016,62611,임준섭,HH,한화,8500.0
113,2016,62648,김윤동,HT,KIA,2700.0
114,2016,62655,홍성민,LT,롯데,12000.0
115,2016,62668,윤완주,HT,KIA,3500.0
116,2016,62698,소사,LG,LG,55000.0
117,2016,62700,하주석,HH,한화,3200.0
118,2016,62768,김원석,HH,한화,3000.0
119,2016,62770,윤승열,HH,한화,2900.0
120,2016,62797,양성우,HH,한화,2800.0
121,2016,62802,박승욱,SK,SK,2700.0
122,2016,62864,김민식,SK,SK,3000.0
123,2016,62868,임치영,SK,SK,3000.0
124,2016,62869,문승원,SK,SK,2900.0
125,2016,62893,최정민,SK,SK,3000.0
126,2016,62895,한동민,SK,SK,7000.0
127,2016,62907,박민우,NC,NC,19000.0
128,2016,62908,황윤호,NC,NC,2700.0
129,2016,62917,강구성,NC,NC,2700.0
130,2016,62926,박세웅,NC,NC,2700.0
131,2016,62927,김태우,NC,NC,2700.0
132,2016,62929,이민호,NC,NC,13500.0
133,2016,62934,김성욱,NC,NC,5500.0
134,2016,62937,신재영,WO,키움,2700.0
135,2016,62947,나성범,NC,NC,30000.0
136,2016,62951,이형범,NC,NC,2700.0
137,2016,62966,최금강,NC,NC,9200.0
138,2016,63027,안성무,SS,삼성,2900.0
139,2016,63077,황목치승,LG,LG,4000.0
140,2016,63088,김진곤,KT,KT,3500.0
141,2016,63102,김정수,NC,NC,2700.0
142,2016,63111,류제국,LG,LG,18000.0
143,2016,63123,강승호,LG,LG,2700.0
144,2016,63145,배재준,LG,LG,2700.0
145,2016,63248,함덕주,OB,두산,10000.0
146,2016,63257,김인태,OB,두산,2800.0
147,2016,63260,이우성,OB,두산,2800.0
148,2016,63339,김민준,WO,키움,2700.0
149,2016,63342,조상우,WO,키움,17000.0
150,2016,63360,장시윤,WO,키움,3300.0
151,2016,63363,신명수,WO,키움,2700.0
152,2016,63440,이흥련,SS,삼성,7500.0
153,2016,63448,김영환,KT,KT,3700.0
154,2016,63464,윤대경,SS,삼성,2800.0
155,2016,63512,박진형,LT,롯데,2800.0
156,2016,63634,이홍구,HT,KIA,7000.0
157,2016,63636,고영우,HT,KIA,3900.0
158,2016,63638,박준표,HT,KIA,4500.0
159,2016,63700,장운호,HH,한화,4200.0
160,2016,63704,노수광,HT,KIA,3000.0
161,2016,63722,한승택,HT,KIA,2700.0
162,2016,63791,송창현,HH,한화,3100.0
163,2016,63810,세든,SK,SK,44000.0
164,2016,63894,김정빈,SK,SK,2700.0
165,2016,63913,최재원,SS,삼성,5000.0
166,2016,63914,손정욱,NC,NC,5600.0
167,2016,63920,김준완,NC,NC,3000.0
168,2016,63935,이성민,LT,롯데,9500.0
169,2016,63938,해커,NC,NC,66000.0
170,2016,63950,장현식,NC,NC,2700.0
171,2016,63959,임정호,NC,NC,7700.0
172,2016,63963,권희동,NC,NC,6800.0
173,2016,63991,박진우,OB,두산,3200.0
174,2016,64001,고영표,KT,KT,4400.0
175,2016,64004,김민혁,KT,KT,4700.0
176,2016,64006,심우준,KT,KT,3500.0
177,2016,64007,문상철,KT,KT,3600.0
178,2016,64017,심재민,KT,KT,4700.0
179,2016,64021,박세웅,LT,롯데,5600.0
180,2016,64022,안중열,LT,롯데,4000.0
181,2016,64029,류희운,KT,KT,2700.0
182,2016,64041,안상빈,KT,KT,3700.0
183,2016,64086,신성현,HH,한화,3700.0
184,2016,64100,박재욱,LG,LG,2700.0
185,2016,64115,장준원,LG,LG,3000.0
186,2016,64153,양석환,LG,LG,7000.0
187,2016,64166,배병옥,KT,KT,3500.0
188,2016,64204,홍영현,OB,두산,2700.0
189,2016,64213,최용제,OB,두산,2700.0
190,2016,64255,한주성,OB,두산,2700.0
191,2016,64259,최병욱,OB,두산,3000.0
192,2016,64267,전용훈,OB,두산,2700.0
193,2016,64288,문진제,OB,두산,2700.0
194,2016,64300,김하성,WO,키움,16000.0
195,2016,64340,임동휘,WO,키움,2700.0
196,2016,64346,임병욱,WO,키움,4000.0
197,2016,64350,하영민,WO,키움,5500.0
198,2016,64396,김윤환,WO,키움,2700.0
199,2016,64400,박제윤,SS,삼성,2800.0
200,2016,64468,박계범,SS,삼성,2900.0
201,2016,64493,최선호,SS,삼성,3500.0
202,2016,64498,구준범,SS,삼성,2800.0
203,2016,64499,김재현,SS,삼성,4500.0
204,2016,64596,김유영,LT,롯데,2800.0
205,2016,64610,강한울,HT,KIA,6000.0
206,2016,64646,박찬호,HT,KIA,3700.0
207,2016,64697,박진두,HT,KIA,2800.0
208,2016,64699,필,HT,KIA,99000.0
209,2016,64706,이창열,HH,한화,3200.0
210,2016,64717,지성준,HH,한화,3000.0
211,2016,64718,최영환,LT,롯데,3700.0
212,2016,64724,박준혁,HH,한화,2700.0
213,2016,64764,박한길,LT,롯데,3000.0
214,2016,64768,조영우,SK,SK,2800.0
215,2016,64769,정광운,SS,삼성,2800.0
216,2016,64802,조성모,SK,SK,2700.0
217,2016,64861,이건욱,SK,SK,2700.0
218,2016,64890,유서준,SK,SK,2900.0
219,2016,64893,박민호,SK,SK,4000.0
220,2016,64895,이진석,SK,SK,2900.0
221,2016,64906,강민국,NC,NC,2700.0
222,2016,64907,강장산,NC,NC,3000.0
223,2016,64914,테임즈,NC,NC,137500.0
224,2016,64944,박광열,NC,NC,3000.0
225,2016,64960,김학성,NC,NC,2700.0
226,2016,64984,김태진,NC,NC,3000.0
227,2016,64992,정성민,NC,NC,2700.0
228,2016,64995,배재환,NC,NC,2700.0
229,2016,65005,마르테,KT,KT,82500.0
230,2016,65040,김태훈,KT,KT,3000.0
231,2016,65042,홍성무,KT,KT,3600.0
232,2016,65044,김만수,KT,KT,2900.0
233,2016,65048,김민수,KT,KT,3200.0
234,2016,65056,엄상백,KT,KT,6000.0
235,2016,65057,이창재,KT,KT,4400.0
236,2016,65058,정성곤,KT,KT,3900.0
237,2016,65060,주권,KT,KT,3600.0
238,2016,65062,김재윤,KT,KT,7200.0
239,2016,65064,윤수호,NC,NC,2700.0
240,2016,65067,조무근,KT,KT,8500.0
241,2016,65096,정주후,KT,KT,2700.0
242,2016,65103,히메네스,LG,LG,55000.0
243,2016,65115,안익훈,LG,LG,4100.0
244,2016,65120,박성준,LG,LG,3000.0
245,2016,65206,박성민,OB,두산,2700.0
246,2016,65241,채지선,OB,두산,2700.0
247,2016,65264,남경호,OB,두산,3000.0
248,2016,65293,정진철,OB,두산,2700.0
249,2016,65320,최원태,WO,키움,2700.0
250,2016,65331,피어밴드,KT,KT,49500.0
251,2016,65343,김택형,WO,키움,4400.0
252,2016,65345,김해수,WO,키움,2700.0
253,2016,65348,박주현,WO,키움,2700.0
254,2016,65357,송성문,WO,키움,3000.0
255,2016,65362,송우현,WO,키움,2700.0
256,2016,65368,정용준,WO,키움,2700.0
257,2016,65392,김정인,WO,키움,3000.0
258,2016,65399,허정협,WO,키움,3000.0
259,2016,65405,윤영수,SS,삼성,2900.0
260,2016,65412,권정웅,SS,삼성,2700.0
261,2016,65447,최민구,SS,삼성,2900.0
262,2016,65464,최정용,SK,SK,2700.0
263,2016,65503,김지수,LT,롯데,2700.0
264,2016,65506,김재유,LT,롯데,2900.0
265,2016,65509,차재용,LT,롯데,2800.0
266,2016,65513,김대륙,LT,롯데,3200.0
267,2016,65514,강동관,LT,롯데,2700.0
268,2016,65515,강동수,LT,롯데,2900.0
269,2016,65516,배제성,LT,롯데,2700.0
270,2016,65522,김호준,LT,롯데,2700.0
271,2016,65523,아두치,LT,롯데,85800.0
272,2016,65543,린드블럼,LT,롯데,132000.0
273,2016,65546,레일리,LT,롯데,69300.0
274,2016,65591,안태경,LT,롯데,2700.0
275,2016,65610,황대인,HT,KIA,3000.0
276,2016,65617,박동민,HT,KIA,2700.0
277,2016,65620,박정우,HT,KIA,2700.0
278,2016,65653,김호령,HT,KIA,6000.0
279,2016,65665,이준영,HT,KIA,2700.0
280,2016,65696,김명찬,HT,KIA,2900.0
281,2016,65702,김정민,SK,SK,2700.0
282,2016,65707,주현상,HH,한화,3700.0
283,2016,65742,로저스,HH,한화,187000.0
284,2016,65764,김민우,HH,한화,3800.0
285,2016,65769,김범수,HH,한화,3200.0
286,2016,65827,조한욱,SK,SK,2700.0
287,2016,65844,박세웅,SK,SK,2700.0
288,2016,65856,켈리,SK,SK,82500.0
289,2016,65869,이현석,SK,SK,2700.0
290,2016,65894,유상화,SK,SK,2700.0
291,2016,65896,허웅,SK,SK,2700.0
292,2016,65898,김웅빈,WO,키움,2700.0
293,2016,65904,김민욱,NC,NC,2700.0
294,2016,65931,스튜어트,NC,NC,55000.0
295,2016,65933,구창모,NC,NC,2700.0
296,2016,65949,류진욱,NC,NC,2700.0
297,2016,65958,이훈,NC,NC,2700.0
298,2016,66023,강승훈,KT,KT,2700.0
299,2016,66032,피노,KT,KT,33000.0
300,2016,66039,한승지,KT,KT,2700.0
301,2016,66047,박세진,KT,KT,2700.0
302,2016,66049,마리몬,KT,KT,44000.0
303,2016,66050,로위,KT,KT,18700.0
304,2016,66052,남태혁,KT,KT,2700.0
305,2016,66068,서의태,KT,KT,2700.0
306,2016,66108,홍창기,LG,LG,2700.0
307,2016,66138,허프,LG,LG,38500.0
308,2016,66145,김대현,LG,LG,2700.0
309,2016,66154,코프랜드,LG,LG,44000.0
310,2016,66160,유재유,LG,LG,2700.0
311,2016,66162,김주성,LG,LG,2700.0
312,2016,66201,고봉재,OB,두산,2700.0
313,2016,66203,서예일,OB,두산,2700.0
314,2016,66207,황경태,OB,두산,2700.0
315,2016,66209,조수행,OB,두산,2700.0
316,2016,66226,보우덴,OB,두산,71500.0
317,2016,66233,홍성호,OB,두산,2700.0
318,2016,66243,양구렬,OB,두산,2700.0
319,2016,66244,에반스,OB,두산,60500.0
320,2016,66306,대니돈,WO,키움,66000.0
321,2016,66323,코엘로,WO,키움,44000.0
322,2016,66324,맥그레거,WO,키움,13200.0
323,2016,66354,주효상,WO,키움,2700.0
324,2016,66357,안현석,WO,키움,2700.0
325,2016,66359,유재훈,WO,키움,2700.0
326,2016,66367,안정훈,WO,키움,2700.0
327,2016,66397,김성현,WO,키움,2700.0
328,2016,66398,이찬석,WO,키움,2700.0
329,2016,66399,김성택,WO,키움,2700.0
330,2016,66402,웹스터,SS,삼성,82500.0
331,2016,66409,이성규,SS,삼성,2700.0
332,2016,66423,플란데,SS,삼성,27500.0
333,2016,66440,벨레스터,SS,삼성,44000.0
334,2016,66444,이케빈,SS,삼성,2700.0
335,2016,66446,레온,SS,삼성,49500.0
336,2016,66451,최충연,SS,삼성,2700.0
337,2016,66452,발디리스,SS,삼성,88000.0
338,2016,66462,김성훈,SS,삼성,2700.0
339,2016,66469,황선도,SS,삼성,2700.0
340,2016,66492,김승현,SS,삼성,2700.0
341,2016,66493,임대한,SS,삼성,2700.0
342,2016,66504,이석훈,LT,롯데,2700.0
343,2016,66508,나경민,LT,롯데,2700.0
344,2016,66523,맥스웰,LT,롯데,30800.0
345,2016,66556,박종무,LT,롯데,2700.0
346,2016,66557,한승혁,LT,롯데,2700.0
347,2016,66563,김영일,LT,롯데,2700.0
348,2016,66565,김성재,LT,롯데,2700.0
349,2016,66569,김남길,LT,롯데,2700.0
350,2016,66606,최원준,HT,KIA,2700.0
351,2016,66609,전상현,HT,KIA,2700.0
352,2016,66628,지크,HT,KIA,77000.0
353,2016,66629,신윤철,HT,KIA,2700.0
354,2016,66630,김현준,HT,KIA,2700.0
355,2016,66643,헥터,HT,KIA,187000.0
356,2016,66657,이진영,HT,KIA,2700.0
357,2016,66659,정동현,HT,KIA,2700.0
358,2016,66660,남재현,HT,KIA,2700.0
359,2016,66662,신범수,HT,KIA,2700.0
360,2016,66663,서덕원,HT,KIA,2700.0
361,2016,66702,이동훈,HH,한화,2700.0
362,2016,66705,권용우,HH,한화,2700.0
363,2016,66710,강상원,HH,한화,2700.0
364,2016,66740,로사리오,HH,한화,110000.0
365,2016,66741,김재영,HH,한화,2700.0
366,2016,66742,서캠프,HH,한화,49500.0
367,2016,66748,마에스트리,HH,한화,22000.0
368,2016,66749,김주현,HH,한화,2700.0
369,2016,66750,카스티요,HH,한화,22000.0
370,2016,66801,김찬호,SK,SK,2700.0
371,2016,66804,노관현,SK,SK,2700.0
372,2016,66805,고메즈,SK,SK,71500.0
373,2016,66825,라라,SK,SK,19800.0
374,2016,66833,임석진,SK,SK,2700.0
375,2016,66838,김동엽,SK,SK,2700.0
376,2016,66858,정동윤,SK,SK,2700.0
377,2016,66859,김주한,SK,SK,2700.0
378,2016,66864,안상현,SK,SK,2700.0
379,2016,66917,김찬형,NC,NC,2700.0
380,2016,66920,최성영,NC,NC,2700.0
381,2016,66928,박준영,NC,NC,2700.0
382,2016,66943,김준현,NC,NC,2700.0
383,2016,66956,김한별,NC,NC,2700.0
384,2016,66960,정수민,NC,NC,2700.0
385,2016,66963,최상인,NC,NC,2700.0
386,2016,66965,도태훈,NC,NC,2700.0
387,2016,66968,이재율,NC,NC,2700.0
388,2016,66990,임서준,NC,NC,2700.0
389,2016,66992,조원빈,NC,NC,2700.0
390,2016,66995,최재혁,NC,NC,2700.0
391,2016,67845,밴와트,KT,KT,44000.0
392,2016,70142,김광수,HT,KIA,10000.0
393,2016,70410,김주찬,HT,KIA,50000.0
394,2016,70425,배영수,HH,한화,55000.0
395,2016,70553,박기혁,KT,KT,15000.0
396,2016,70615,강영식,LT,롯데,30000.0
397,2016,70646,김상현,KT,KT,20000.0
398,2016,70756,이범호,HT,KIA,65000.0
399,2016,70820,이승호,SK,SK,7000.0
400,2016,70839,신승현,LG,LG,6000.0
401,2016,71118,이동현,LG,LG,60000.0
402,2016,71184,이성우,HT,KIA,6500.0
403,2016,71207,김원섭,HT,KIA,15000.0
404,2016,71260,이재우,HH,한화,9000.0
405,2016,71347,장민석,HH,한화,10000.0
406,2016,71432,박한이,SS,삼성,45000.0
407,2016,71552,최준석,LT,롯데,40000.0
408,2016,71562,박종윤,LT,롯데,16000.0
409,2016,71565,이우민,LT,롯데,7000.0
410,2016,71610,김경언,HH,한화,20000.0
411,2016,71752,김태균,HH,한화,160000.0
412,2016,71801,정대현,LT,롯데,32000.0
413,2016,71837,김강민,SK,SK,60000.0
414,2016,71842,정상호,LG,LG,50000.0
415,2016,71845,채병용,SK,SK,25000.0
416,2016,71848,조동화,SK,SK,30000.0
417,2016,71851,김건한,SS,삼성,6000.0
418,2016,71857,박재상,SK,SK,20000.0
419,2016,72133,박용택,LG,LG,80000.0
420,2016,72214,고영민,OB,두산,15000.0
421,2016,72261,황덕균,WO,키움,2700.0
422,2016,72303,김민우,HT,KIA,12000.0
423,2016,72321,배힘찬,HT,KIA,3300.0
424,2016,72324,허웅,SK,SK,3300.0
425,2016,72443,최형우,SS,삼성,70000.0
426,2016,72447,권혁,HH,한화,45000.0
427,2016,72456,손주인,LG,LG,12000.0
428,2016,72463,안지만,SS,삼성,75000.0
429,2016,72466,조동찬,SS,삼성,40000.0
430,2016,72523,고효준,HT,KIA,8000.0
431,2016,72535,이명우,LT,롯데,15000.0
432,2016,72546,문규현,LT,롯데,9000.0
433,2016,72551,이정민,LT,롯데,6500.0
434,2016,72559,신종길,HT,KIA,12000.0
435,2016,72641,김진우,HT,KIA,12000.0
436,2016,72649,신용운,SS,삼성,5500.0
437,2016,72749,마정길,WO,키움,20000.0
438,2016,72860,이대수,SK,SK,35000.0
439,2016,72862,윤길현,LT,롯데,50000.0
440,2016,73113,박경수,KT,KT,23000.0
441,2016,73117,우규민,LG,LG,40000.0
442,2016,73136,이성열,HH,한화,25000.0
443,2016,73153,이대형,KT,KT,30000.0
444,2016,73209,나주환,SK,SK,20000.0
445,2016,73211,노경은,LT,롯데,20000.0
446,2016,73213,손시헌,NC,NC,40000.0
447,2016,73226,김성배,OB,두산,18000.0
448,2016,73228,전병두,SK,SK,5000.0
449,2016,73241,정재훈,OB,두산,15000.0
450,2016,73248,김승회,SK,SK,22000.0
451,2016,73306,지석훈,NC,NC,14000.0
452,2016,73339,이종욱,NC,NC,50000.0
453,2016,73342,이택근,WO,키움,50000.0
454,2016,73602,차일목,HH,한화,15000.0
455,2016,73606,서동욱,HT,KIA,5800.0
456,2016,73632,임준혁,SK,SK,13000.0
457,2016,73725,이양기,HH,한화,5400.0
458,2016,73738,안영명,HH,한화,28000.0
459,2016,73750,윤규진,HH,한화,17000.0
460,2016,73801,송은범,HH,한화,45000.0
461,2016,73824,최경철,LG,LG,9000.0
462,2016,74139,장진용,LG,LG,5000.0
463,2016,74148,이시찬,HH,한화,5100.0
464,2016,74158,김태완,SS,삼성,6000.0
465,2016,74163,이용규,HH,한화,70000.0
466,2016,74167,심수창,HH,한화,25000.0
467,2016,74206,김재호,OB,두산,41000.0
468,2016,74215,윤석민,WO,키움,16000.0
469,2016,74223,용덕한,NC,NC,8500.0
470,2016,74339,유한준,KT,KT,60000.0
471,2016,74358,조평호,NC,NC,3500.0
472,2016,74359,오주원,WO,키움,8800.0
473,2016,74402,이정식,SS,삼성,4500.0
474,2016,74454,윤성환,SS,삼성,80000.0
475,2016,74465,박석민,NC,NC,75000.0
476,2016,74513,장원준,OB,두산,100000.0
477,2016,74540,강민호,LT,롯데,100000.0
478,2016,74543,최대성,KT,KT,8500.0
479,2016,74556,허준혁,LT,롯데,3000.0
480,2016,74605,김주형,HT,KIA,5500.0
481,2016,74630,박근홍,SS,삼성,11000.0
482,2016,74729,최진행,HH,한화,18500.0
483,2016,74731,송창식,HH,한화,16000.0
484,2016,74745,고동진,HH,한화,8000.0
485,2016,74748,정재원,HH,한화,3700.0
486,2016,74756,박노민,HH,한화,4000.0
487,2016,74823,임훈,LG,LG,13000.0
488,2016,74838,윤희상,SK,SK,12000.0
489,2016,74846,박정권,SK,SK,40000.0
490,2016,74857,정우람,HH,한화,120000.0
491,2016,75138,신재웅,SK,SK,16500.0
492,2016,75149,홍성용,KT,KT,7000.0
493,2016,75151,정의윤,SK,SK,12000.0
494,2016,75250,박정배,SK,SK,8000.0
495,2016,75258,금민철,WO,키움,7900.0
496,2016,75261,서동환,SS,삼성,2900.0
497,2016,75268,조현근,SS,삼성,4500.0
498,2016,75321,손승락,LT,롯데,70000.0
499,2016,75334,오재일,OB,두산,9500.0
500,2016,75340,전유수,SK,SK,13000.0
501,2016,75342,이보근,WO,키움,8400.0
502,2016,75441,조영훈,NC,NC,11000.0
503,2016,75566,이원석,OB,두산,15000.0
504,2016,75620,윤석민,HT,KIA,125000.0
505,2016,75668,곽정철,HT,KIA,5500.0
506,2016,75730,윤근영,KT,KT,6200.0
507,2016,75750,양훈,WO,키움,15000.0
508,2016,75808,정근우,HH,한화,70000.0
509,2016,75847,최정,SK,SK,100000.0
510,2016,75852,김선규,NC,NC,6000.0
511,2016,75867,김진성,NC,NC,15000.0
512,2016,76100,이병규,LG,LG,15600.0
513,2016,76118,원종현,NC,NC,8000.0
514,2016,76140,신창호,HT,KIA,3700.0
515,2016,76158,최승준,SK,SK,4200.0
516,2016,76232,양의지,OB,두산,42000.0
517,2016,76249,민병헌,OB,두산,35000.0
518,2016,76262,원용묵,SK,SK,2700.0
519,2016,76267,최주환,OB,두산,11000.0
520,2016,76304,신현철,KT,KT,3000.0
521,2016,76313,황재균,LT,롯데,50000.0
522,2016,76322,유선정,WO,키움,3900.0
523,2016,76329,이현승,OB,두산,40000.0
524,2016,76350,김세현,WO,키움,16000.0
525,2016,76355,장원삼,SS,삼성,75000.0
526,2016,76368,유재신,WO,키움,6000.0
527,2016,76404,황선일,HH,한화,2800.0
528,2016,76430,김상수,WO,키움,6000.0
529,2016,76435,이여상,LT,롯데,3600.0
530,2016,76455,차우찬,SS,삼성,40000.0
531,2016,76461,김기태,SS,삼성,4000.0
532,2016,76469,모상기,KT,KT,2800.0
533,2016,76509,김문호,LT,롯데,7000.0
534,2016,76536,손용석,LT,롯데,3400.0
535,2016,76540,배장호,LT,롯데,4600.0
536,2016,76610,한기주,HT,KIA,6500.0
537,2016,76639,손영민,HT,KIA,8000.0
538,2016,76650,진해수,LG,LG,9500.0
539,2016,76720,정범모,HH,한화,6000.0
540,2016,76746,김태완,HH,한화,8000.0
541,2016,76753,송광민,HH,한화,10000.0
542,2016,76757,유원상,LG,LG,7500.0
543,2016,76802,김성현,SK,SK,18000.0
544,2016,76812,이재원,SK,SK,28000.0
545,2016,76849,이명기,SK,SK,18000.0
546,2016,76858,박희수,SK,SK,14000.0
547,2016,76869,김재현,SK,SK,4000.0
548,2016,77104,박용근,KT,KT,4000.0
549,2016,77147,봉중근,LG,LG,30000.0
550,2016,77211,이용찬,OB,두산,14500.0
551,2016,77229,이원재,OB,두산,2800.0
552,2016,77243,허도환,HH,한화,7500.0
553,2016,77248,오재원,OB,두산,55000.0
554,2016,77253,이용호,OB,두산,2700.0
555,2016,77263,김강률,OB,두산,6200.0
556,2016,77318,장시환,KT,KT,8900.0
557,2016,77326,임태준,WO,키움,2900.0
558,2016,77446,백정현,SS,삼성,5500.0
559,2016,77452,이동걸,HH,한화,5200.0
560,2016,77454,김종호,NC,NC,17500.0
561,2016,77462,김동명,KT,KT,4000.0
562,2016,77463,채태인,WO,키움,30000.0
563,2016,77464,임익준,HH,한화,3500.0
564,2016,77532,손아섭,LT,롯데,60000.0
565,2016,77563,이상화,KT,KT,5000.0
566,2016,77564,김민성,WO,키움,22000.0
567,2016,77566,이재곤,LT,롯데,3800.0
568,2016,77591,송승준,LT,롯데,40000.0
569,2016,77609,김연훈,KT,KT,4700.0
570,2016,77637,양현종,HT,KIA,75000.0
571,2016,77648,이호신,HT,KIA,3600.0
572,2016,77669,김주현,LT,롯데,3300.0
573,2016,77733,김강,OB,두산,3000.0
574,2016,77829,김광현,SK,SK,85000.0
575,2016,77848,박윤,WO,키움,4000.0
576,2016,77869,김기현,SK,SK,3000.0
577,2016,77927,장필준,SS,삼성,2800.0
578,2016,78119,이범준,LG,LG,3000.0
579,2016,78122,김태군,NC,NC,21000.0
580,2016,78135,이형종,LG,LG,2700.0
581,2016,78148,정찬헌,LG,LG,5100.0
582,2016,78168,서건창,WO,키움,26000.0
583,2016,78217,김용의,LG,LG,6000.0
584,2016,78224,김재환,OB,두산,5000.0
585,2016,78243,박민석,NC,NC,2700.0
586,2016,78247,홍상삼,OB,두산,16000.0
587,2016,78248,고창성,NC,NC,5000.0
588,2016,78257,진야곱,OB,두산,6000.0
589,2016,78288,최재훈,OB,두산,6800.0
590,2016,78352,임창민,NC,NC,17400.0
